source,target,weight,description,text_unit_ids,id,human_readable_id,source_degree,target_degree,rank
"""IDC23""","""NIGHTLY BUILD BAT""",2.0," The entity known as ""IDC23"" plays a role in, or is associated with, the Nightly Build BAT process. Conversely, it is also established that the Nightly Build BAT occurs within the premises of IDC23. Therefore, it can be inferred that IDC23 serves as the location for the Nightly Build BAT process to take place.",['3367d1af79b215e1e3bbeda05ec12266' 'e17bf1f3eed3d870d76a36ec5d026cd3'],4d8890c699684c9381105b03b0b41b03,21,13,3,16
"""IDC23""","""SERVICE RC_ETH_PHY_SWITCH_ENGINE_RESET""",1.0,"""The location IDC23 is where the Service RC_ETH_PHY_SWITCH_ENGINE_RESET is being used or monitored.""",['7abba7c2008a10626855aa8423929d38'],b1658adfa43847eabad1437db235e858,22,13,4,17
"""IDC23""","""WUP TRIGGER""",1.0,"""IDC23 does not respond properly to the WUP trigger.""",['b7244c24ba845e9461cf4ba9cc098f77'],a1773cac7d4c4939aec965660e5015fe,23,13,1,14
"""IDC23""","""SHUTDOWN_FULL_OFF""",1.0,"""IDC23 is in a state of SHUTDOWN_FULL_OFF after failing to wake up from the WUP trigger.""",['b7244c24ba845e9461cf4ba9cc098f77'],6a054cb59fb44cf494b93988b5f88833,24,13,1,14
"""IDC23""","""PLATFORM""",1.0,"""IDC23 issued a command to restart the platform.""",['593106634c58b8567ffa3f161932bd0d'],e7b103a52e384e3e8bf14105223e7e82,25,13,1,14
"""IDC23""","""IC_SAFTY_VIOLATION_RESET_BLANK""",1.0,"""IDC23 reported the IC_SAFTY_VIOLATION_RESET_BLANK event.""",['4889b8e64628e3aa5708b9fe22f95fc0'],3f1042452c254cecaf7189e89162adc8,26,13,3,16
"""IDC23""","""DTC 0XB7FB8F""",1.0,"""IDC23 reported the DTC 0xB7FB8F related to a safe misc CRC error.""",['4889b8e64628e3aa5708b9fe22f95fc0'],fd31d549420744d1bd1a6b1112a9a6ba,27,13,1,14
"""IDC23""","""AUTOMATION""",1.0,"""IDC23 is responsible for the automation process that led to the high current event.""",['d40fc73eef238010776ab42d53427a71'],f7ab348030714072a277682b51f7c588,28,13,2,15
"""SV_US""","""ETH.SERVICE""",1.0,"""The crash of the Ethereum service occurred in SV_US.""",['9c0f0dd4c99b02f2563aa2d10aec7236'],2139b0906dc541e094138a978d070416,29,1,1,2
"""HU""","""BI_2307""",1.0,"""The system BI_2307 is located in HU.""",['c06fc6dd3a2a71fb3c9ffae93ae426f6'],ff5466607e5d4453b1d833629292f664,30,8,4,12
"""HU""","""UBMIN""",1.0,"""The non-response of HU is related to the minimum voltage value of 6V."")<|COMPLETE|> (""entity""",['2dce2f2cbf044821729ff6883c3351ab'],71f95003936e46a98d90757ffd845d40,31,8,1,9
"""HU""","""LIFECYCLE-RTC""",1.0,"""LifeCycle-RTC is responsible for or manages the HU device, as it did not wake up as expected."")<|COMPLETE|> (""entity""",['be42eeb163c37d00a0bbd2b8a838a5f8'],bada987ea7da4c939393ee1c3d08ccd4,32,8,4,12
"""HU""","""WAKEUP_REASON_CUSTOMER_RESET""",1.0,"""The HU device did not wake up due to the WAKEUP_REASON_CUSTOMER_RESET."")<|COMPLETE|>   (""relationship""",['be42eeb163c37d00a0bbd2b8a838a5f8'],d0a274e7934d446fb91847bb53a961a6,33,8,1,9
"""HU""","""MINI IDC""",1.0,"""The problem experienced by MINI IDC is related to HU, which failed to start up.""",['0f9a5da33adb698ee3345a722dd6dbd4'],0a799eab61bc4e6b884db6689f9c2c4a,34,8,1,9
"""HU""","""UV""",1.0,"""The condition of HU is due to the occurrence of UV.""",['0974e3980ac7fd39ff8d5b5b4ec931be'],8c34cd494a63438dac219c1dc0f73100,35,8,1,9
"""HU""","""SOC""",1.0,"""The non-recovery of HU from UV leads to SOC not starting.""",['0974e3980ac7fd39ff8d5b5b4ec931be'],c6f428af0c5e4f629902fd5455bf19ac,36,8,1,9
"""COLDBOOTS""","""EVENT""",1.0,"""The event of multiple Coldboots being activated or restarted is indicated by their ResumeNo.""",['5ad45bd483d79609ef98d1ea70c8cd36'],d1fd271d16c348019c2fcced762b35a2,37,1,2,3
"""EVENT""","""SERVICE RC_ETH_PHY_SWITCH_ENGINE_RESET""",1.0,"""The negative response with response code indicates an issue or error in the operation of the Service RC_ETH_PHY_SWITCH_ENGINE_RESET.""",['7abba7c2008a10626855aa8423929d38'],ffa128c9c0c84d39bad1bba8cfa4adc5,38,2,4,6
"""IOC_WATCHDOG_RESET""","""INTERNET OPERATIONS COMMAND (IOC)""",1.0,"""The event IOC_WATCHDOG_RESET is related to the Internet Operations Command (IOC) as it involves a reset of their watchdog system."")<|COMPLETE|> (""entity""",['5b2875e1c818a3da9b0b3be551d1b092'],058f66cc356b43cc9433bd3c8d57fa46,39,12,1,13
"""IOC_WATCHDOG_RESET""","""IOC""",4.0,"""The event IOC_WATCHDOG_RESET may be related to the organization IOC and its watchdog system.""","['106e9295bcfedcccf6687dc20ed91e0c' '264f25220ba4af0a533536c5f131719d'
 'bb863e7d23568e97bb4f20c0f09d87f2' 'ffecca81d2d2f0fb0b1752286ad2c891']",ff74091eaba246698fcae59c21eec828,40,12,5,17
"""IOC_WATCHDOG_RESET""","""WATCHDOG""",4.0,"""The event IOC_WATCHDOG_RESET is likely associated with the concept of a watchdog system or process.""","['106e9295bcfedcccf6687dc20ed91e0c' '264f25220ba4af0a533536c5f131719d'
 'bb863e7d23568e97bb4f20c0f09d87f2' 'ffecca81d2d2f0fb0b1752286ad2c891']",f6cbbf1b8f4b48a28a16e4dd8976b9bb,41,12,1,13
"""IOC_WATCHDOG_RESET""","""RESET""",4.0,"""The event IOC_WATCHDOG_RESET may be a result of the action 'RESET' being taken on the watchdog system.""","['106e9295bcfedcccf6687dc20ed91e0c' '264f25220ba4af0a533536c5f131719d'
 'bb863e7d23568e97bb4f20c0f09d87f2' 'ffecca81d2d2f0fb0b1752286ad2c891']",757ca40654d5476aa949a26b733be8d4,42,12,1,13
"""IOC_WATCHDOG_RESET""","""IDC""",3.0,"""IDC has issued a command or signal related to the IOC_WATCHDOG_RESET event.""","['bc5e7d72174f350a33dcf12faefa7aa6' 'd5559092bd99fd1f3869f1524b901358'
 'dee02c29ee12ac56a5d7bfe57c8d5abc']",539d55e7c42e44b59d98f59fae3e0ee1,43,12,11,23
"""IOC_WATCHDOG_RESET""","""WOHNEN""",1.0,"""The IOC_WATCHDOG_RESET event has occurred in the location Wohnen."")<|COMPLETE|> (""entity""",['acaf15728080d84305015a26ec9ce5a7'],3785eeadea9042bfb2e50f16c0397a12,44,12,1,13
"""IOC_WATCHDOG_RESET""","""G045_H021540""",1.0,"""The event IOC_WATCHDOG_RESET has occurred in the geographical area G045_H021540."")<|COMPLETE|>   (""entity""",['605fe89d0c31975979dfde8bc5177ac6'],48cd97f2297143e09d61ff2a8542c0c5,45,12,2,14
"""IOC_WATCHDOG_RESET""","""[MGU22]""",1.0,"""The event IOC_WATCHDOG_RESET is associated with organization [MGU22].""",['55946cdb9635ae3014dc49b213ebd624'],ff95eb0d5f7f49b782027d5c7ae3c3fe,46,12,3,15
"""IOC_WATCHDOG_RESET""","""[2403]""",1.0,"""The event IOC_WATCHDOG_RESET occurred at geographical location [2403].""",['55946cdb9635ae3014dc49b213ebd624'],086da554db5b4ad5806aedeb0024197c,47,12,3,15
"""IOC_WATCHDOG_RESET""","""[IDC23]""",1.0,"""The IOC_WATCHDOG_RESET event occurred within the [IDC23] organization.""",['709a4bdcd3b3b2d8e694f76f116741bb'],216ee8a907a0466a88b27f8ada19ffa0,48,12,7,19
"""IOC_WATCHDOG_RESET""","""MAINLINE""",1.0,"""The IOC_WATCHDOG_RESET event was observed in Mainline, a location within the [IDC23] organization.""",['709a4bdcd3b3b2d8e694f76f116741bb'],6fefb317687d4ac98efe39a52f3e190f,49,12,1,13
"""IOC_WATCHDOG_RESET""","""NOT SPECIFIED""",1.0,"""The relationship between IOC_WATCHDOG_RESET and other entities is not specified in the text.""",['17dff7d79189b2b01e7c3aa61ba924d9'],320d9d91238948a8be67972ccceab878,50,12,1,13
"""IOC""","""BAT FAILURE_MGU22""",1.0,"""The BAT Failure_MGU22 event occurred at the IOC location.""",['0aa243942da652d5a1747247f52dea02'],bdcbcccadd474b3bbe9a8f56c811bab4,51,5,1,6
"""IOC""","""MGU22_E""",1.0,"""The event MGU22_E is related to ioc not restarting as expected after encountering an ACT_FAULT.""",['3389efd680d43d6b195bdec5625f5852'],f127fc4d87f94794be89134406ba0694,52,5,2,7
"""IOC""","""MGU22_F""",1.0,"""ioc might have been involved in the MGU22_F event.""",['fce2cc9025ae0fb6f2180ece37d3ab9a'],c27966a4e3be434686454204ac7b3ab4,53,5,3,8
"""IOC""","""WAKEUP_REASON_IOC_WATCHDOG_RESET""",1.0,"""The event occurred at IOC, which could be affected by it.""",['51902b4fc9b9c277ce9e76d7bb490488'],dab39f92d0ed468c80699f28c05c45fa,54,5,5,10
"""FIT-FAHRZEUG""","""BOTSCHAFT(RELATIVZEIT BN2020, ID: RELATIVZEIT)""",1.0,"""FIT-Vehicle D0103Y is involved in the event or message related to Relativzeit BN2020.""",['6ae37b9ba3a17fa65c721371ae3e5646'],3076f330d121489aa50964ce54a3b1ac,55,8,2,10
"""FIT-FAHRZEUG""","""VIT-VEHICLE D01030""",1.0,"""FIT-Fahrzeug is responsible for the vehicle VIT-Vehicle D01030.""",['13bd16bd84d1d944ba4eda1cd1f97d81'],c8e5d3afdcb54c8589e280f0c4a87417,56,8,1,9
"""FIT-FAHRZEUG""","""ST_DISP_KI""",1.0,"""The organization FIT-Fahrzeug is associated with the event ST_DISP_KI of the vehicle VIT-Vehicle D01030.""",['13bd16bd84d1d944ba4eda1cd1f97d81'],f3d30627e19245649e497ab49bf0fa30,57,8,2,10
"""FIT-FAHRZEUG""","""D0103Y""",1.0,"""FIT-Fahrzeug and D0103Y are one and the same vehicle."")<|COMPLETE|> (""entity""",['23688e9dc337373f3b1a22dde4d91f6c'],e3f1098c3d984bc7b5f30b9c0101f7a6,58,8,1,9
"""FIT-FAHRZEUG""","""IDC""",1.0,"""The FIT-Vehicle D0103Z is located in IDC and experiencing a blackscreen issue.""",['f8ac24c10a7bc8dc5cc62f5cc543a497'],24b4a5f4db67418cbfa08c5316f0ab51,59,8,11,19
"""FIT-FAHRZEUG""","""NOTRUFSYSTEM""",1.0,"""The emergency system of FIT-Vehicle D0103Z has failed.""",['f8ac24c10a7bc8dc5cc62f5cc543a497'],e4b707e3e6964197855b82fc66ef59e7,60,8,1,9
"""FIT-FAHRZEUG""","""BOTSCHAFT""",1.0,"""The missing status display combination of FIT-Fahrzeug might be related to the communication event Botschaft.""",['98521d8af0974f7a7aa310e1144fd17c'],109b8be5a8ee4180a1465cd23f019d7b,61,8,2,10
"""FIT-FAHRZEUG""","""VIT-VEHICLE""",1.0,"""VIT-Vehicle is another vehicle or organization related to FIT-Fahrzeug, as both are mentioned in the text.""",['98521d8af0974f7a7aa310e1144fd17c'],49f771e31a0c4b35bc39e389f3623509,62,8,2,10
"""VIT-VEHICLE""","""BOTSCHAFT(RELATIVZEIT BN2020, ID: RELATIVZEIT)""",1.0,"""It is not specified whether VIT-Vehicle is involved in the event or message related to Relativzeit BN2020.""",['6ae37b9ba3a17fa65c721371ae3e5646'],aa946d4379694a74ba0da37e69d2810a,63,2,2,4
"""ZBE""","""REST OF THE FEATURES""",1.0,"""The rest of the features do not work with ZBE.""",['2790bae7f2c75a57fb2b3355a842e5a4'],268446fc52a54fd2837f73aeb3e0b74f,64,1,1,2
"""DFE""","""LC""",1.0,"""The DFE's inactivity is observed during the LifeCycle-RTC event.""",['2045a423d7ec0e6b18300c4009b51f97'],f6ddfa8491ff40d2839bb5b2e105df22,65,3,4,7
"""DFE""","""BI_2311TO2403""",1.0,"""The event BI_2311to2403 resulted in a failure of the DFE-Kommunikation.""",['8561914d860570076ff3ce9f41682bc4'],db1295504da645b69d9786d54f233fed,66,3,4,7
"""DFE""","""IDC23 SERIES CAR""",1.0,"""The problem with the IDC23 Series Car is related to the DFE system or component.""",['fea407b542ed67412969ae08575b8a8f'],6ff4ed0dda4f4158af37be99f505565f,67,3,5,8
"""LC""","""PROBLEM WITH CID AND LC""",1.0,"""The issue with the Logical Channel is related to the malfunction of the Command and Interface Device in IOC2403's system.""",['ab0db4a2bcca339c26d0d4c5ef065293'],5d398b88ee4242a59c32feb188683ec3,68,4,3,7
"""LC""","""AZV""",1.0,"""AZV's state remains unchanged throughout the LC.""",['c8c82262047b0f6faa51e75c12b10967'],0a784e00c9464bd3aeb830b908f73170,69,4,2,6
"""LC""","""SUSPEND TO RAM FUNCTIONALITY""",1.0,"""The failure of Suspend to RAM Functionality occurred during or as a result of the event referred to as LC.""",['6bb4ce52008209df78eb01779ea251c1'],b0966a0f455e44229e6c9705d57bfca9,70,4,1,5
"""LIFECYCLE-RTC""","""IDC2403""",1.0,"""LifeCycle-RTC executed a Factory Reset Job that led to the observation of IDC2403.""",['41d33265517367967d10564cbf8fe7d4'],99761e9b89cc4060be3ed6b34532e7ff,71,4,2,6
"""STATUS ANZEIGE KOMBI""","""ST_DISP_KI""",1.0,"""The event ST_DISP_KI is related to the Status Anzeige Kombi of the vehicle VIT-Vehicle D01030.""",['13bd16bd84d1d944ba4eda1cd1f97d81'],8130a1a82bde46048952cf147690e630,72,1,2,3
"""IDC""","""HUD""",1.0,"""The IDC and HUD organizations appear to be facing similar problems, suggesting they may be interconnected or part of the same system."")<|COMPLETE|> (""entity""",['6eaf196fc6a057eed197922d34d1c0a6'],79c99026b7ef4946b9b8e0be841fd4c5,73,11,2,13
"""IDC""","""BI_2307""",1.0,"""BI_2307 is associated with the organization IDC.""",['c06fc6dd3a2a71fb3c9ffae93ae426f6'],fdcb1673254842f1935f53d0c38c467e,74,11,4,15
"""IDC""","""KM-STAND""",1.0,"""The KM-Stand event indicates that the vehicle is stationary in IDC.""",['f8ac24c10a7bc8dc5cc62f5cc543a497'],dcb3f4cc8abc46faabc193d9885e91d0,75,11,1,12
"""IDC""","""QUIESCENT POWER""",1.0,"""The activation of IDC caused a shift from Quiescent Power to increased power consumption.""",['f06a861562496748755a429bc4a6f926'],3295be59128d451bb720c6688adc1e0b,76,11,1,12
"""IDC""","""POWER INCREASE""",1.0,"""The activation of IDC led directly to the Power Increase event.""",['f06a861562496748755a429bc4a6f926'],aca3eb8924ac494486fe0bfe892f7f2e,77,11,1,12
"""IDC""","""[IDC_SI]""",1.0,"""[IDC_SI] is part of the IDC organization.""",['9099f98cb6057a5bd9bfd18262448c29'],66689accdd974295b7eb779e43578748,78,11,1,12
"""IDC""","""DLT""",1.0,"""The logs of DLT indicate that IDC performed a system reset.""",['c1cba8ed0d193ad59458390a792657b0'],6b49c78aa1524609ab7aa74aeaa3e01d,79,11,2,13
"""IDC""","""2507-ML""",1.0,"""IDC performed a system reset during the 2507-ML event.""",['56db6bd1fa62c6b555094fabb41e1914'],7ff31ce54f424f0bbb297b0b3ba7c757,80,11,1,12
"""IDC""","""STR""",1.0,"""IDC enters a FULL OFF state after the completion of STR.""",['85d22b7ef37ae79ad6567046b8184a1c'],bac51e00d486420c8e91e824d8e17411,81,11,7,18
"""HUD""","""PROFILECHANGE""",1.0,"""The HUD needs to be adjusted after a profile change.""",['6e74dc5d592cc6479ac5f124d556a850'],4adee3aad6524a4aa4c4711c1ee05e64,82,2,1,3
"""MGU""","""[23-11]STR""",1.0,"""The MGU entity is involved in the event [23-11]STR, but the nature of their involvement is not specified.""",['4aa2f720394e12efb67e7221a8c3e845'],d034e4fd8ac849278e658daad1a1f033,83,9,1,10
"""MGU""","""EA-FIT""",1.0,"""The organization EA-FIT is experiencing a problem with its MGU.""",['9586c06886abf1586a1758c00adddcb3'],091e998370dd42d1b05ab0fcf6595a7e,84,9,1,10
"""MGU""","""I20""",1.0,"""The event I20 is related to the faulty start-up of the MGU.""",['9586c06886abf1586a1758c00adddcb3'],1e6cabc18fab4c048281fd29d3044438,85,9,1,10
"""MGU""","""24-03""",1.0,"""MGU has addressed the issue on the specified date or event.""",['b1418ffef573dabf60fa012d304ac1a3'],dc08f6d7398b4b798a3bdccf508a2ad4,86,9,1,10
"""MGU""","""BOD_VDD RECOVERY""",1.0,"""The race condition issue affects the BOD_VDD Recovery technology.""",['b1418ffef573dabf60fa012d304ac1a3'],1c7fd5af8d8041e186eae2431fc627cd,87,9,1,10
"""MGU""","""SHUTDOWN UNDERVOLTAGE""",1.0,"""The race condition issue is also related to the Shutdown Undervoltage technology.""",['b1418ffef573dabf60fa012d304ac1a3'],b16eda56dcec40f2b3e109fb9246bee3,88,9,1,10
"""MGU""","""CID""",1.0,"""The failure of MGU prompts CID to show BMW as the issue.""",['40e1a39840a87dc78c85d45877938e4f'],43c68f9a86654a32a2215e23957ed184,89,9,11,20
"""MGU""","""PU2411""",1.0,"""PU2411 is the command to disable a specific function of MGU.""",['b16c781317dfb822518787256e0210a4'],1ba06fe2e86140a59bbc4f4e969d0f71,90,9,1,10
"""MGU""","""TK-FIT""",1.0,"""The organization TK-FIT is experiencing a delay in the MGU operation due to a cold boot issue.""",['aedb1392696a0303a184efa597f9eb83'],36caa0a230c8422c8acb4dc62e35bb32,91,9,1,10
"""CRASH ID: 2522215684262056414""","""[IDC23]""",1.0,"""The crash occurred within the [IDC23] system.""",['f12bd8809b9a4fbde18d50ae1f1388fb'],09940fed9d154504948bba2df1789a50,92,1,7,8
"""PROCESS NAME: ETH-CTRL.SERVICE""","""[IDC23]""",1.0,"""The crash involved the process named Process Name: eth-ctrl.service within the [IDC23] system.""",['f12bd8809b9a4fbde18d50ae1f1388fb'],4d6608557eed49368a6d09c7c5c664c5,93,1,7,8
"""[IDC23]""","""APIX MB0""",1.0,"""The incorrect configuration of the APIX MB0 technology was identified at the [IDC23] location.""",['4b03f045ca7c1bdd67310c061680f0c5'],eb7c93eeb9dc41aab57d29e97ebb4951,94,7,3,10
"""[IDC23]""","""SAFE_CODING_DATA_ERROR""",1.0,"""The organization [IDC23] is experiencing a SAFE_CODING_DATA_ERROR.""",['cf610e79c74e3f3602430ab31cee3f59'],3b6e2ac584b64847b53828c9d779fed3,95,7,1,8
"""[IDC23]""","""IC_SAFETY_VIOLATION_RESET_BLANK""",1.0,"""The organization [IDC23] is experiencing IC_SAFETY_VIOLATION_RESET_BLANK as a result of the SAFE_CODING_DATA_ERROR.""",['cf610e79c74e3f3602430ab31cee3f59'],e9b68002e035447baae848208cea5503,96,7,2,9
"""[IDC23]""","""[MAINLINE]""",1.0,"""The event [Mainline] is related to the organization [IDC23] experiencing a SAFE_CODING_DATA_ERROR and IC_SAFETY_VIOLATION_RESET_BLANK.""",['cf610e79c74e3f3602430ab31cee3f59'],fe18353546824ca98294ce4be7b96e02,97,7,2,9
"""CLONE""","""KERNEL CRASHES""",1.0,"""CLONE is dealing with the kernel crashes.""",['6e92c9d95d4da810634624fe16b99344'],0e9740e25f5a460c81318336e00ac880,98,3,1,4
"""CLONE""","""FIT_CN_U12BEV""",1.0,"""The readiness time of MMI during FIT_CN_U12BEV has exceeded the target value set by CLONE.""",['61e528d9a380f24404cd2de394311bd5'],b7cd9a62710849778fdadced0d754687,99,3,1,4
"""CLONE""","""_9R21379""",1.0,"""The organization CLONE is located in _9R21379 where a watchdog reset caused a wakeup event."")<|COMPLETE|> (""entity""",['1c2d8c652837fae12d7e1016a093614f'],432a6b4962544200949421a96a405142,100,3,1,4
"""CID""","""BI_D2ML""",1.0,"""The issue with the LC may be related to the BI_D2ML technology used by CID.""",['1a03dc612a3f20b5016da81e642dffc1'],d6700b360ac141d282cdb567414bf4ce,101,11,1,12
"""CID""","""RR25""",1.0,"""The problem in the LC, indicated by a black screen, is caused by the RR25 event.""",['1a03dc612a3f20b5016da81e642dffc1'],c1b40a4039b44061a358e098867f7412,102,11,1,12
"""CID""","""PROBLEM""",1.0,"""The problem with the CID system is indicated by the black screen after starting a new LC.""",['d0a7ea4cae6a04e4034abf6e52d259c1'],4643a7a319674adfb732b6f6122c7c64,103,11,2,13
"""CID""","""PROBLEM WITH CID AND LC""",1.0,"""The malfunction of the Command and Interface Device is part of the overall problem with IOC2403's system.""",['ab0db4a2bcca339c26d0d4c5ef065293'],46e8056fb2ec4811ab33cb34a0dc9fb3,104,11,3,14
"""CID""","""AUDIO OUTPUT""",1.0,"""The CID system does not produce any audio output during the lifecycle of the vehicle.""",['1850b7ad817b6b8ce6eb45d7acd606ff'],8b57a9f43a1942a49b58cf881835f974,105,11,1,12
"""CID""","""VIDEO OUTPUT""",1.0,"""The CID system displays a black screen instead of video output during the entire lifecycle of the vehicle.""",['1850b7ad817b6b8ce6eb45d7acd606ff'],f78b01b0d93948c283644ec58f7be74a,106,11,1,12
"""CID""","""BMW""",1.0,"""CID indicates that BMW is causing the problem with MGU not starting.""",['40e1a39840a87dc78c85d45877938e4f'],8dbe8f9867e4448f998416c18923eac4,107,11,2,13
"""CID""","""6V""",1.0,"""The CID was blank after the supply voltage reached 6V during a slow decrease and increase."")<|COMPLETE|> (""entity""",['2a3102391bafcd28c7dd42549ccf48cf'],fe8ea8bf1395434393e04e8f7a33025f,108,11,1,12
"""CID""","""KOMBI""",1.0,"""Both CID and Kombi are vehicles that share the characteristics of being completely black and reversing.""",['5fd255db7b2c556ca799d5988db53512'],7d58b089bfc549e8951e91ad62541119,109,11,2,13
"""CID""","""DELAYED STARTUP""",1.0,"""The event Delayed Startup affects CID, causing it to start later than expected.""",['6aebae568357758f36c1fbb46e3635f3'],1fa6d3118bd846c8837b5fa9fb78f262,110,11,1,12
"""IDC23_U12_DFE""","""STARTUP""",1.0,"""The problem with the startup of IDC23_U12_DFE is indicated by the black screen.""",['2225399269f5b8d8b66b99cf4000276e'],62c65bbae33c4ee9a21b61f6f454c4b4,111,4,2,6
"""IDC23_U12_DFE""","""[BI-E2-ML]""",1.0,"""The vehicle IDC23_U12_DFE is connected to the organization [BI-E2-ML], possibly through maintenance or manufacturing.""",['798857dabf3f6e02fd96d3754961b4f9'],30b7034c4468473f98ee18d00ee73b33,112,4,2,6
"""IDC23_U12_DFE""","""BI_2311""",1.0,"""The incident IDC23_U12_DFE is related to the malfunction of BI_2311.""",['6d366f29543ceb4666afebe8b2a7fb2f'],00f78b85e5b84999a810e311e540037b,113,4,4,8
"""IDC23_U12_DFE""","""VEHICLE""",1.0,"""The incident IDC23_U12_DFE occurred in the vehicle due to the malfunction of BI_2311.""",['6d366f29543ceb4666afebe8b2a7fb2f'],3e460d9f011d4b0b9ccaae7b6a5202de,114,4,4,8
"""STARTUP""","""3RD LIFECYCLE""",1.0,"""The 3rd Lifecycle also experienced a delay in the startup of the CID."")<|COMPLETE|> (""entity""",['51ca6c1076833d3aeced45611f974418'],9d98dece22eb401aa1a5ce9c88c603f0,115,2,1,3
